CX,CY,LVX,LVY,ANG,AV,LG,RG,ACT
-0.004885292,1.4086641,-0.49484643,-0.100274816,0.005667648,0.11209015,0.0,0.0,3
-0.009706306,1.4058294,-0.48604545,-0.12601341,0.009575766,0.078169934,0.0,0.0,3
-0.014442635,1.4023839,-0.4754316,-0.15314527,0.011352419,0.0355364,0.0,0.0,3
-0.019082451,1.3983288,-0.46332413,-0.18021592,0.010702353,-0.013002589,0.0,0.0,3
-0.023631668,1.3936685,-0.45196706,-0.20710394,0.0077773193,-0.058505934,0.0,0.0,3
-0.028098296,1.388415,-0.4416108,-0.23347208,0.0027777897,-0.099999584,0.0,0.0,3
-0.03250284,1.3825562,-0.4338275,-0.26039425,-0.0037776164,-0.13112041,0.0,0.0,3
-0.036810398,1.3760858,-0.42165986,-0.28762105,-0.012768275,-0.17982976,0.0,0.0,3
-0.041048147,1.369014,-0.4129086,-0.314424,-0.023506105,-0.21477672,0.0,0.0,3
-0.04522114,1.3613425,-0.40481263,-0.3411973,-0.035858832,-0.24707714,0.0,0.0,3
-0.049305342,1.3530734,-0.39369014,-0.36793917,-0.050431054,-0.29147148,0.0,0.0,3
-0.053310968,1.3442047,-0.38386765,-0.3948068,-0.06696158,-0.33064058,0.0,0.0,2
-0.057374954,1.3359394,-0.3891868,-0.36820525,-0.08402064,-0.34121293,0.0,0.0,2
-0.061454296,1.3283721,-0.39034107,-0.33740506,-0.10149524,-0.34952414,0.0,0.0,2
-0.065460205,1.3210443,-0.38308775,-0.3269615,-0.118891664,-0.34796032,0.0,0.0,2
-0.0695035,1.3144915,-0.38618714,-0.29277673,-0.13697515,-0.3617025,0.0,0.0,3
-0.07346372,1.3073279,-0.37582067,-0.32037112,-0.15714961,-0.40352568,0.0,0.0,1
-0.0775136,1.2995863,-0.38716376,-0.34604454,-0.17500402,-0.35712075,0.0,0.0,1
-0.081653975,1.291281,-0.39865452,-0.37101516,-0.19046709,-0.30928928,0.0,0.0,1
-0.08586025,1.2824069,-0.40704527,-0.39620674,-0.20416245,-0.2739318,0.0,0.0,2
-0.08999948,1.2742145,-0.39986163,-0.36610574,-0.21835925,-0.28396222,0.0,0.0,1
-0.094218254,1.2654389,-0.40989867,-0.3918451,-0.23050526,-0.24294214,0.0,0.0,1
-0.09850025,1.2560756,-0.4178547,-0.41779545,-0.24103026,-0.21051867,0.0,0.0,2
-0.10262451,1.247273,-0.40196863,-0.39298132,-0.25170243,-0.21346238,0.0,0.0,2
-0.106505774,1.2384852,-0.37828103,-0.39228293,-0.26175582,-0.20108557,0.0,0.0,2
-0.11035462,1.2296464,-0.37476498,-0.39467418,-0.27210307,-0.20694526,0.0,0.0,2
-0.11389971,1.2210438,-0.34506446,-0.38412902,-0.28179038,-0.19374672,0.0,0.0,2
-0.11729755,1.2129055,-0.330123,-0.3636064,-0.29173696,-0.19893178,0.0,0.0,2
-0.12049179,1.2051709,-0.30980036,-0.34572908,-0.30167207,-0.19870242,0.0,0.0,1
-0.12376623,1.1968651,-0.3198928,-0.3707353,-0.30949086,-0.15637566,0.0,0.0,1
-0.12712917,1.188011,-0.33112535,-0.39461744,-0.3148462,-0.10710677,0.0,0.0,1
-0.13055506,1.178586,-0.33906677,-0.419662,-0.3184995,-0.07306644,0.0,0.0,2
-0.13369092,1.1695642,-0.31037658,-0.40167475,-0.32184896,-0.066989355,0.0,0.0,2
-0.13644162,1.1612418,-0.27225733,-0.37052432,-0.32477555,-0.05853181,0.0,0.0,2
-0.13883677,1.1533784,-0.23720042,-0.35000673,-0.3271864,-0.048216883,0.0,0.0,2
-0.14087105,1.1460341,-0.20156975,-0.32684,-0.3291263,-0.03879855,0.0,0.0,1
